OldHostname,CiscoModel,NewHostname,HuaweiModel,HuaweiShort,PortCount,PoE,Role
STRADM-SWCO-MAIN-3850,WS-C3850-24T-E,STRADM-SWCO-MAIN-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
ADM-SWDI-MAIN2-2960,WS-C2960-24TC-L,ADM-SWDI-MAIN2-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
ADM-SWDI-BACKUP2-2960,WS-C2960-24TC-L,ADM-SWDI-BACKUP2-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
ADM-SWAC-OT-2960G,WS-C2960G-24TC-L,ADM-SWAC-OT-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
CCY-SWAC-PABXG2-2540,HP Aruba JL357A 2540 24G PoE,CCY-SWAC-PABXG2-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
GTOPAS-MKS-SWCODI-C3650,WS-C3650-24TS-S,GTOPAS-MKS-SWCODI-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
GTOPAS-MND-SWCODI-C3650,WS-C3650-24TS-S,GTOPAS-MND-SWCODI-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
GTOPAS-PKU-SWCO-C3650,WS-C3650-24TS-S,GTOPAS-PKU-SWCO-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
GTOPAS-PKU-SWDI-C-C2960,Cisco Catalyst 2960-Plus 24PC-L,GTOPAS-PKU-SWDI-C-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
GTOPAS-SMG-SWCO-C3650,WS-C3650-24TS-S,GTOPAS-SMG-SWCO-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
DRC-SWAC-SVRFARM,WS-C3560CX-8TC-S,DRC-SWAC-SVRFARM-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
HO-SWCODI-OT-C3560X,WS-C3560X-24T-L,HO-SWCODI-OT-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
HO-SWAC-OT-LT4-C2960X,WS-C2960X-24TS-L,HO-SWAC-OT-LT4-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
HO-SWAC-INT-C2960X,WS-C2960X-24TS-L,HO-SWAC-INT-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
KRWT-SWAC-OT-2960,WS-C2960X-24TS-L,KRWT-SWAC-OT-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
LXS-SWCODI-OT-C3750,WS-C3750G-24T-E,LXS-SWCODI-OT-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
LXS-SWAC-ISP02-C2960,WS-C2960CX-24TC-L,LXS-SWAC-ISP02-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
LXS-SWAC-ISP01-C2960,WS-C2960CX-24TC-L,LXS-SWAC-ISP01-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
LXS-SWAC-OT-C2960X,WS-C2960X-24TS-L,LXS-SWAC-OT-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
