OldHostname,NewHostname
STRADM-SWCO-MAIN-3850,STRADM-SWCO-MAIN-5755H24T
ADM-SWDI-MAIN2-2960,ADM-SWDI-MAIN2-5735S24T
ADM-SWDI-BACKUP2-2960,ADM-SWDI-BACKUP2-5735S24T
ADM-SWAC-OT-2960G,ADM-SWAC-OT-5735S24T
CCY-SWAC-PABXG2-2540,CCY-SWAC-PABXG2-5735S24P
GTOPAS-MKS-SWCODI-C3650,GTOPAS-MKS-SWCODI-5755H24T
GTOPAS-MND-SWCODI-C3650,GTOPAS-MND-SWCODI-5755H24T
GTOPAS-PKU-SWCO-C3650,GTOPAS-PKU-SWCO-5755H24T
GTOPAS-PKU-SWDI-C-C2960,GTOPAS-PKU-SWDI-C-5735S24P
GTOPAS-SMG-SWCO-C3650,GTOPAS-SMG-SWCO-5755H24T
DRC-SWAC-SVRFARM,DRC-SWAC-SVRFARM-5735S24T
HO-SWCODI-OT-C3560X,HO-SWCODI-OT-5755H24T
HO-SWAC-OT-LT4-C2960X,HO-SWAC-OT-LT4-5735S24T
HO-SWAC-INT-C2960X,HO-SWAC-INT-5735S24T
KRWT-SWAC-OT-2960,KRWT-SWAC-OT-5735S24T
LXS-SWCODI-OT-C3750,LXS-SWCODI-OT-5755H24T
LXS-SWAC-ISP02-C2960,LXS-SWAC-ISP02-5735S24T
LXS-SWAC-ISP01-C2960,LXS-SWAC-ISP01-5735S24T
LXS-SWAC-OT-C2960X,LXS-SWAC-OT-5735S24T
LXS-SWAC-GUEST-2960,LXS-SWAC-GUEST-5735S24T
NGORO-SWAC-OT-2960,NGORO-SWAC-OT-5735S24P
NGORO-SWAC-ISP-02-C2960,NGORO-SWAC-ISP-02-5735S24T
NVDC-SWCODI-OT-3650,NVDC-SWCODI-OT-5755H24T
NVDC-SWAC-OT-2960,NVDC-SWAC-OT-5735S24T
PDC-GILI-SWAC-01-2960,PDC-GILI-SWAC-01-5735S24T
PDC-GILI-SWAC-03-2960,PDC-GILI-SWAC-03-5735S24T
PDC-DAYA-SWAC-01-2960,PDC-DAYA-SWAC-01-5735S24T
PDC-DAYA-SWAC-03-2960,PDC-DAYA-SWAC-03-5735S24T
PDC-DAYA-SWAC-05-2960,PDC-DAYA-SWAC-05-5735S24T
PDC-DAYA-SWAC-06-2960,PDC-DAYA-SWAC-06-5735S24T
SPLD-SWCO-OT,SPLD-SWCO-OT-5755H24T
SPLD-SWAC-OT-01,SPLD-SWAC-OT-01-5735L8T
SPLD-SWAC-SH-2960,SPLD-SWDI-SH-5735S24T
STR2-SWDI-MN-2960-DORM,STR2-SWDI-MN-DORM-5735S24T
STR2-SWAC-1-2960-DORM,STR2-SWAC-1-DORM-5735S24T
STR2-SWDI-2-2960-DOKD,STR2-SWDI-2-DOKD-5735S24P
STR2-SWDI-2-2960-HRGA,STR2-SWDI-2-HRGA-5735S24P
STR2-SWDI-1-2960-HRGA,STR2-SWDI-1-HRGA-5735S24P
STR2-SWAC-OT-TASTI,STR2-SWAC-OT-TASTI-5735S24T
STR3-SWAC-OT-2960X,STR3-SWAC-OT-5735S24T
TTC-SWCO-BU-N9108-DMZ,TTC-SWCO-BU-DMZ-5755H48M
TTC-SWCO-MN-N9108-DMZ,TTC-SWCO-MN-DMZ-5755H48M
TTC-SWCO-PABXGA-3650,TTC-SWCO-PABXGA-5755H24T
TTC-SWAC-PABXGA1-2540,TTC-SWAC-PABXGA1-5735S24P
TTC-SWAC-PABXGA3-2540,TTC-SWAC-PABXGA3-5735S24P
TTC-SWAC-LAN-2960,TTC-SWAC-LAN-5735S48T
TTC-SWDI-C-3560,TTC-SWDI-C-5735S24P
TTC-SWAC-SDWAN-TGN01,TTC-SWAC-SDWAN-TGN01-5735S24T
TTC-SWAC-SDWAN-TGN02,TTC-SWAC-SDWAN-TGN02-5735S24T
