OldHostname,NewHostname,Site,Region,Role,CiscoModel,HuaweiModel,HuaweiSeries,PortCount,PoE,Status
STRADM-SWCO-MAIN-3850,STRADM-SWCO-MAIN-5755H24T,STRADM,Head Office,Core,WS-C3850-24T-E,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
ADM-SWDI-MAIN2-2960,ADM-SWDI-MAIN2-5735S24T,ADM,Head Office,Access,WS-C2960-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
ADM-SWDI-BACKUP2-2960,ADM-SWDI-BACKUP2-5735S24T,ADM,Head Office,Access,WS-C2960-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
ADM-SWAC-OT-2960G,ADM-SWAC-OT-5735S24T,ADM,Head Office,Access,WS-C2960G-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
CCY-SWAC-PABXG2-2540,CCY-SWAC-PABXG2-5735S24P,CCY,Site,Access,HP Aruba JL357A 2540 24G PoE,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
GTOPAS-MKS-SWCODI-C3650,GTOPAS-MKS-SWCODI-5755H24T,GTOPAS-MKS,Mining,Core,WS-C3650-24TS-S,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
GTOPAS-MND-SWCODI-C3650,GTOPAS-MND-SWCODI-5755H24T,GTOPAS-MND,Mining,Core,WS-C3650-24TS-S,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
GTOPAS-PKU-SWCO-C3650,GTOPAS-PKU-SWCO-5755H24T,GTOPAS-PKU,Mining,Core,WS-C3650-24TS-S,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
GTOPAS-PKU-SWDI-C-C2960,GTOPAS-PKU-SWDI-C-5735S24P,GTOPAS-PKU,Mining,Access,Cisco Catalyst 2960-Plus 24PC-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
GTOPAS-SMG-SWCO-C3650,GTOPAS-SMG-SWCO-5755H24T,GTOPAS-SMG,Mining,Core,WS-C3650-24TS-S,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
TAM-DRC-DMZ-SW-01,,DRC,Data Center,Access,WS-C3560CX-8TC-S,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Cancelled
TAM-DRC-DMZ-SW-02,,DRC,Data Center,Access,WS-C3560CX-8TC-S,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Cancelled
DRC-SWAC-SVRFARM,DRC-SWAC-SVRFARM-5735S24T,DRC,Data Center,Access,WS-C3560CX-8TC-S,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
HO-SWCODI-OT-C3560X,HO-SWCODI-OT-5755H24T,HO,Head Office,Core,WS-C3560X-24T-L,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
HO-SWAC-OT-LT4-C2960X,HO-SWAC-OT-LT4-5735S24T,HO,Head Office,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
HO-SWAC-INT-C2960X,HO-SWAC-INT-5735S24T,HO,Head Office,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
KRWT-SWAC-OT-2960,KRWT-SWAC-OT-5735S24T,KRWT,Mining,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
LXS-SWCODI-OT-C3750,LXS-SWCODI-OT-5755H24T,LXS,Mining,Core,WS-C3750G-24T-E,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
LXS-SWAC-ISP02-C2960,LXS-SWAC-ISP02-5735S24T,LXS,Mining,Access,WS-C2960CX-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
LXS-SWAC-ISP01-C2960,LXS-SWAC-ISP01-5735S24T,LXS,Mining,Access,WS-C2960CX-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
LXS-SWAC-OT-C2960X,LXS-SWAC-OT-5735S24T,LXS,Mining,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
LXS-SWAC-GUEST-2960,LXS-SWAC-GUEST-5735S24T,LXS,Mining,Access,Unknown,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
NGORO-SWAC-OT-2960,NGORO-SWAC-OT-5735S24P,NGORO,Plant,Access,Cisco Catalyst 2960-Plus 24PC-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
NGORO-SWAC-ISP-02-C2960,NGORO-SWAC-ISP-02-5735S24T,NGORO,Plant,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
NVDC-SWCODI-OT-3650,NVDC-SWCODI-OT-5755H24T,NVDC,Data Center,Core,WS-C3560G-24TS-E,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
NVDC-SWAC-OT-2960,NVDC-SWAC-OT-5735S24T,NVDC,Data Center,Access,WS-C2960+24PC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
PDC-GILI-SWAC-01-2960,PDC-GILI-SWAC-01-5735S24T,PDC-GILI,Plant,Access,WS-C2960+24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
PDC-GILI-SWAC-03-2960,PDC-GILI-SWAC-03-5735S24T,PDC-GILI,Plant,Access,WS-C2960+24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
PDC-DAYA-SWAC-01-2960,PDC-DAYA-SWAC-01-5735S24T,PDC-DAYA,Plant,Access,WS-C2960+24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
PDC-DAYA-SWAC-03-2960,PDC-DAYA-SWAC-03-5735S24T,PDC-DAYA,Plant,Access,WS-C2960+24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
